internal idx,feature idx,unit idx top,unit idx bottom,image idx top,image idx bottom,col idx top,row idx top,col idx bottom,row idx bottom,number of outliers,ranksum,median,mean,ttest,mestimation,NUM,ROW,COL,FeatSize,NumCirc,NumTri,NumLine,CircDiam,TriSize,LineLen,RotSD,FCP,CCDunsc,WN0.1,WN0.2,WN0.3,WN0.4,WN0.5,WN0.7,WN1,WN1.5,WN2,WN3,WN4,FCPLOG,DC,DT,DL,TriArea,CircArea,LineArea,TA,CA,LA,ROT,CCD,FCPN01,FCPN03,FCPLOGN0.1,FCPLOGN0.3,Split
1023,2,2143,4354,2213,63,31,33,64,66,12,0.719447,4274.38,4428.19,0.52573,3989.63,2,0,2,10,0,4,0,3.08258,3.26817,7.81837,121.659,0.2604,6,0.289327,0.098038,0.043835,0.057636,0.015426,0.019798,0.012663,0.009335,0.007419,0.00569,0.006077,-1.04389,0,0.04,0,8.21814,7.46309,23.4551,0.328726,0,0,3.64976,0.424264,0.297813,0.332182,-0.857734,-0.698333,1
1024,1056,32,2243,4324,2176,32,1,65,34,13,0.332302,4170.75,4321.03,0.0859058,4550.12,1056,32,1,20,7,0,0,8.96291,7.15941,14.5263,131.26,0.451025,2,0.03907,0.022629,0.011825,0.007969,0.006335,0.004171,0.003151,0.002149,0.001675,0.001334,0.001366,-0.19653,0.0175,0,0,39.4383,63.094,43.5789,0,1.10414,0,0,0.0707107,0.45764,0.01,-0.169847,-4.59512,1
1025,1023,98,2309,4255,2047,32,2,65,35,14,0.399186,4354.75,4563.73,0.580957,4281.52,1023,31,1,20,0,0,6,9.1584,4.91093,12.8072,31.8637,0.401125,4,0.058307,0.051153,0.012857,0.015357,0.012329,0.00711,0.005806,0.004906,0.003779,0.002825,0.003025,-0.40078,0,0,0.015,18.5563,65.8763,38.4215,0,0,0.576322,0.398297,0.141421,0.602893,0.862051,0.417533,1.83243,1
1026,990,164,2375,4192,2044,32,3,65,36,10,-0.0437003,3856.45,4274.96,-0.0646798,4323.44,990,30,1,20,0,0,8,4.69731,3.65115,10.5127,118.111,0.369775,2,0.047201,0.037768,0.013007,0.011352,0.011212,0.006678,0.004932,0.003953,0.003232,0.002407,0.002265,-0.533182,0,0,0.02,10.2571,17.3296,31.5382,0,0,0.630765,2.06694,0.0707107,0.376041,0.693599,-0.506386,0.816999,1
1027,957,230,2441,4123,1915,32,4,65,37,5,-0.950044,4028.73,3965.45,-1.77341,4027.85,957,29,1,28,1,4,0,6.17289,4.6719,17.3336,20.5307,0.123827,4,0.057693,0.051341,0.036444,0.027758,0.019297,0.015548,0.010692,0.007294,0.005524,0.004183,0.004411,-1.95668,0.00127551,0.00510204,0,16.7939,29.9273,52.0008,0.0856832,0.0381726,0,0.0785613,0.101015,0.09727,0.121275,-2.22793,-1.98041,1
1028,924,296,2507,4060,1912,32,5,65,38,6,-0.0193591,4058.98,4183.66,-0.426558,4016.3,924,28,1,20,2,1,1,4.63067,6.85796,6.24168,173.573,0.209675,4,0.050253,0.055352,0.017487,0.022259,0.01056,0.009707,0.007683,0.004911,0.004046,0.003123,0.003267,-1.32689,0.005,0.0025,0.0025,36.1871,16.8414,18.7251,0.0904678,0.0842068,0.0468126,0.433934,0.141421,0.219001,0.0502407,-1.2715,-2.93938,1
1029,891,362,2573,3991,1783,32,6,65,39,5,0.217004,3983.83,4234.96,-0.253992,4146.09,891,27,1,28,1,1,1,7.6815,7.27465,13.459,162.428,0.152628,4,0.093909,0.036125,0.015375,0.014537,0.015357,0.007613,0.004979,0.004736,0.003558,0.002606,0.002701,-1.71414,0.00127551,0.00127551,0.00127551,40.7181,46.3428,40.3769,0.0519364,0.0591107,0.0515011,0.207179,0.101015,0.0989901,0.328416,-2.2085,-0.715358,1
1030,858,428,2639,3928,1780,32,7,65,40,16,0.0205193,4020.13,4299.46,0.0146078,4027.87,858,26,1,10,1,1,2,3.70719,3.06508,4.83738,12.8815,0.3498,4,0.268862,0.09413,0.021794,0.028369,0.019636,0.013648,0.008542,0.007704,0.00618,0.004424,0.004842,-0.619918,0.01,0.01,0.02,7.22849,10.7939,14.5121,0.0722849,0.107939,0.290243,0.25763,0.282843,0.264704,0.338429,-1.02166,-0.670301,1
1031,825,494,2705,3859,1651,32,8,65,41,16,-0.799733,3605.88,4028.66,-0.765115,4127.25,825,25,1,10,2,3,0,3.73274,3.81288,5.69617,133.022,0.3885,2,0.187579,0.050551,0.041043,0.045112,0.018444,0.019534,0.011699,0.007149,0.005785,0.004373,0.004361,-0.453622,0.02,0.03,0,11.1859,10.9432,17.0885,0.335576,0.218864,0,2.66043,0.141421,0.536465,0.345715,0.146119,-0.637928,1
1032,792,560,2771,3796,1648,32,9,65,42,8,-0.271758,4145.71,4077.35,-0.817632,4018.32,792,24,1,28,3,0,8,6.91739,3.20594,3.05717,13.9253,0.222079,6,0.057196,0.039156,0.016421,0.019906,0.021816,0.009317,0.006346,0.006053,0.004948,0.003809,0.003594,-1.25359,0.00382653,0,0.0102041,7.90813,37.5816,9.1715,0,0.143807,0.0935868,0.124333,0.151523,0.344289,0.01,-0.644238,-4.59512,1
1033,759,626,2837,3727,1519,32,10,65,43,13,-0.548305,3565.61,4145.76,-0.470704,4147.54,759,23,1,10,4,1,0,3.78121,3.41296,6.19171,94.5691,0.2777,2,0.321467,0.01152,0.008663,0.036955,0.008178,0.014822,0.008493,0.005153,0.00412,0.003234,0.003267,-0.955899,0.04,0.01,0,8.96243,11.2293,18.5751,0.0896243,0.449171,0,0,0.141421,0.226982,0.01,-1.22543,-4.59512,1
1034,726,692,2903,3664,1516,32,11,65,44,14,1.78699,4638.35,4789.19,1.66762,4803.18,726,22,1,20,0,8,4,5.66299,7.89378,15.2851,130.202,0.507075,2,0.026096,0.025966,0.010984,0.011128,0.008194,0.006115,0.004524,0.003098,0.002501,0.001826,0.001762,0.0283019,0,0.02,0.01,47.9439,25.1873,45.8554,0.958878,0,0.458554,3.58057,0.0707107,0.531718,0.403256,0.127045,-0.391915,1
1035,693,758,2969,3595,1387,32,12,65,45,6,-0.520753,3889.2,4228.9,-0.224824,3865.92,693,21,1,28,9,7,0,4.13815,4.06801,15.0944,8.02318,0.21912,4,0.112471,0.095242,0.027394,0.028666,0.019878,0.016594,0.010064,0.007337,0.005647,0.004156,0.004563,-1.2708,0.0114796,0.00892857,0,12.7329,13.4494,45.2832,0.113687,0.154393,0,0.0614019,0.101015,0.310934,0.495584,-0.795758,-0.017665,1
1036,660,824,3035,3532,1384,32,13,65,46,9,0.385117,4038.4,4365.53,0.26658,4185.76,660,20,1,20,2,1,1,8.5949,4.10892,5.62443,77.634,0.323125,2,0.016232,0.035673,0.011188,0.009322,0.011335,0.00687,0.005092,0.003755,0.002952,0.002256,0.002221,-0.739447,0.005,0.0025,0.0025,12.9903,58.0191,16.8733,0.0324757,0.290096,0.0421833,0.194085,0.0707107,0.433015,0.383053,-0.269562,-0.476608,1
