internal idx,feature idx,unit idx top,unit idx bottom,image idx top,image idx bottom,col idx top,row idx top,col idx bottom,row idx bottom,number of outliers,ranksum,median,mean,ttest,mestimation,NUM,ROW,COL,FeatSize,NumCirc,NumTri,NumLine,CircDiam,TriSize,LineLen,RotSD,FCP,CCDunsc,WN0.1,WN0.2,WN0.3,WN0.4,WN0.5,WN0.7,WN1,WN1.5,WN2,WN3,WN4,FCPLOG,DC,DT,DL,TriArea,CircArea,LineArea,TA,CA,LA,ROT,CCD,FCPN01,FCPN03,FCPLOGN0.1,FCPLOGN0.3,Split
1,1087,1,2212,4355,2145,1,1,34,34,6,-0.208582,3859.6,4134,-0.793962,4309.05,1087,32,32,10,0,0,3,3.03803,3.01629,7.83437,103.011,0.4043,2,0.269403,0.045671,0.026782,0.018502,0.016428,0.007493,0.007514,0.005656,0.004564,0.003274,0.003015,-0.38758,0,0,0.03,7.00018,7.24892,23.5031,0,0,0.705093,2.06022,0.141421,0.289058,0.99,-0.899961,4.59512,1
2,1054,67,2278,4224,2078,1,2,34,35,9,0.94346,4311,4412.49,0.441602,4331.64,1054,31,32,28,0,2,5,5.55618,9.51009,15.3318,95.9505,0.278074,2,0.052552,0.026823,0.014411,0.011194,0.013466,0.005899,0.004202,0.003653,0.002847,0.002193,0.002141,-0.954035,0,0.00255102,0.00637755,69.5878,24.2461,45.9953,0.17752,0,0.293337,0.734315,0.0505076,0.49197,0.361285,-0.0321217,-0.569792,1
3,1021,133,2344,4223,2013,1,3,34,36,10,2.59077,4824.94,4840.8,2.62998,4451.5,1021,30,32,28,4,0,8,7.3469,8.0894,18.8216,104.345,0.489209,6,0.024535,0.013824,0.009185,0.007866,0.012031,0.005244,0.00373,0.003062,0.002454,0.001873,0.001821,-0.0431699,0.00510204,0,0.0102041,50.3497,42.3933,56.4647,0,0.216293,0.57617,0.93165,0.151523,0.513778,0.01,0.0551248,-4.59512,1
4,988,199,2410,4092,1946,1,4,34,37,12,-1.38269,3712.75,3832.96,-2.08497,3983.76,988,29,32,20,0,7,0,6.58588,4.38632,9.23296,63.1692,0.2447,10,0.032473,0.068687,0.037918,0.032928,0.022129,0.020431,0.012201,0.008781,0.006711,0.005296,0.005342,-1.12708,0,0.0175,0,14.8035,34.0657,27.6989,0.259062,0,0,0.947538,0.353553,0.217145,0.67511,-1.28238,0.73139,1
5,955,265,2476,4091,1881,1,5,34,38,12,-1.38641,3577.03,3922.74,-1.22197,4024.04,955,28,32,28,2,4,0,5.76951,3.66337,22.4671,90.0978,0.118125,4,0.054867,0.042619,0.050625,0.015854,0.027358,0.014811,0.009112,0.007076,0.005564,0.004406,0.004408,-2.01031,0.00255102,0.00510204,0,10.3259,26.1437,67.4012,0.052683,0.0666932,0,0.344762,0.101015,0.120361,0.01,-1.98901,-4.59512,1
6,922,331,2542,3960,1814,1,6,34,39,6,0.0788604,4439.29,4157.31,-0.492406,3991.84,922,27,32,20,12,0,0,4.48551,6.22953,13.5364,28.5825,0.353875,6,0.129425,0.057267,0.021146,0.021291,0.008388,0.008773,0.006638,0.004264,0.003777,0.002972,0.002993,-0.602049,0.03,0,0,29.859,15.8021,40.6092,0,0.474062,0,0,0.212132,0.309768,0.329053,-0.801204,-0.712473,1
7,889,397,2608,3959,1749,1,7,34,40,11,-0.197099,3961.76,4370.13,0.198598,3999.07,889,26,32,10,0,4,0,3.81944,3.6401,3.0975,20.4361,0.3431,4,0.19257,0.115136,0.034769,0.036436,0.021283,0.01874,0.012041,0.007759,0.006433,0.005457,0.005769,-0.64951,0,0.04,0,10.1951,11.4575,9.29251,0.407804,0,0,0.613082,0.282843,0.347339,0.21428,-0.630757,-1.29932,1
8,856,463,2674,3828,1682,1,8,34,41,11,0.534513,4506.25,4293.56,-0.00266475,3866.24,856,25,32,20,0,0,12,6.75406,6.50889,3.6965,15.1975,0.2904,6,0.043311,0.067914,0.019587,0.024567,0.026846,0.016243,0.00943,0.006908,0.005811,0.004869,0.004686,-0.893442,0,0,0.03,32.597,35.8278,11.0895,0,0,0.332685,0.41793,0.212132,0.393782,0.622206,-0.431443,0.498923,1
9,823,529,2740,3827,1617,1,9,34,42,12,0.708646,4437.49,4618.08,0.873343,4430.66,823,24,32,20,0,6,0,6.48752,7.92547,13.0423,9.29704,0.37965,2,0.024933,0.0213,0.007757,0.008946,0.008127,0.006121,0.004671,0.003245,0.002533,0.001811,0.002155,-0.491034,0,0.015,0,48.3297,33.0557,39.1268,0.724945,0,0,0.116213,0.0707107,0.217763,0.401064,-1.27875,-0.401033,1
10,790,595,2806,3696,1550,1,10,34,43,9,1.08871,4852.65,4648.94,1.06028,4222.34,790,23,32,20,1,0,2,8.47179,6.33655,14.7194,121.304,0.26825,2,0.074429,0.02871,0.010665,0.011693,0.009517,0.006967,0.004922,0.00345,0.002602,0.002014,0.00212,-1.00352,0.0025,0,0.005,30.8937,56.3689,44.1581,0,0.140922,0.22079,0.303259,0.0707107,0.47866,0.225011,-0.0854109,-1.2367,1
11,757,661,2872,3695,1485,1,11,34,44,11,0.641047,4416.05,4341.94,0.19226,4109.28,757,22,32,10,0,3,1,3.72028,3.23237,6.98278,178.222,0.3869,4,0.193121,0.042456,0.039012,0.025256,0.025748,0.018951,0.009851,0.007983,0.006942,0.004647,0.005583,-0.460362,0,0.03,0.01,8.03909,10.8703,20.9483,0.241173,0,0.209483,5.34666,0.282843,0.428339,0.446807,-0.288633,-0.213581,1
12,724,727,2938,3564,1418,1,12,34,45,4,0.374994,4266.85,4305.33,0.0475945,4131.88,724,21,32,20,4,2,0,5.93044,5.36713,11.7437,108.018,0.289825,4,0.005444,0.029788,0.013488,0.010539,0.009965,0.007554,0.00542,0.003751,0.003163,0.002533,0.002666,-0.896234,0.01,0.005,0,22.164,27.6225,35.2311,0.11082,0.276225,0,0.270045,0.141421,0.36775,0.149924,-0.54188,-1.7352,1
13,691,793,3004,3563,1353,1,13,34,46,7,-0.519751,3919,4161.02,-0.486829,4098.57,691,20,32,28,0,3,0,6.39427,6.66449,4.75502,37.8621,0.130816,2,0.056856,0.039358,0.032083,0.020564,0.016652,0.012616,0.008326,0.005877,0.004498,0.003413,0.00352,-1.89376,0,0.00382653,0,34.1741,32.1123,14.2651,0.130768,0,0,0.0965871,0.0505076,0.01,0.737468,-4.59512,1.03285,1
14,658,859,3070,3432,1286,1,14,34,47,8,0.414262,4242.88,4317.94,0.111058,4033.13,658,19,32,10,4,0,0,3.3279,3.17636,3.07001,118.421,0.1911,2,0.3894,0.037536,0.041132,0.028231,0.01371,0.012734,0.008297,0.005907,0.004793,0.003734,0.003839,-1.44288,0.04,0,0,7.76288,8.69824,9.21002,0,0.34793,0,0,0.141421,0.0593796,0.709795,-2.76259,0.894387,1
15,625,925,3136,3431,1221,1,15,34,48,14,0.442381,4353.39,4230.13,-0.242386,4112.71,625,18,32,28,8,1,3,5.14543,3.91847,18.174,109.635,0.354732,6,0.033983,0.04221,0.024462,0.012693,0.020961,0.008594,0.005277,0.004903,0.003826,0.003061,0.003069,-0.598303,0.0102041,0.00127551,0.00382653,11.814,20.7938,54.5221,0.0150689,0.212182,0.20863,0.419523,0.151523,0.591156,0.467245,0.368745,-0.13121,1
16,592,991,3202,3300,1154,1,16,34,49,6,0.00167629,3981.33,4364.58,0.195162,3977.57,592,17,32,20,0,4,0,7.2153,4.78161,8.10797,33.5973,0.1665,0,0.045548,0.073947,0.026693,0.029343,0.021999,0.016505,0.011016,0.007458,0.006145,0.004644,0.004417,-1.61064,0,0.01,0,17.5919,40.8883,24.3239,0.175919,0,0,0.25198,0,0.124742,0.01,-1.94827,-4.59512,1
17,559,1057,3268,3299,1089,1,17,34,50,12,0.563071,4513.42,4431.35,0.416698,4040.9,559,16,32,10,5,0,0,3.31817,3.24913,6.71545,63.1703,0.2741,2,0.296138,0.01008,0.012222,0.031116,0.013793,0.008556,0.006897,0.005828,0.004443,0.003472,0.003635,-0.973919,0.05,0,0,8.12268,8.64741,20.1464,0,0.43237,0,0,0.141421,0.252452,0.348934,-1.08558,-0.623729,1
18,527,1123,3334,3168,1022,1,18,34,51,14,0.703864,4092.55,4557.09,0.666966,4173.99,527,15,32,10,2,0,3,3.55165,3.66052,6.14193,10.0988,0.4798,4,0.237301,0.072276,0.033391,0.027052,0.023207,0.011266,0.00877,0.006313,0.005208,0.003746,0.004228,-0.080844,0.02,0,0.03,10.3098,9.90718,18.4258,0,0.198144,0.552774,0.201976,0.282843,0.35387,0.372061,-0.602071,-0.523386,1
19,494,1189,3400,3167,957,1,19,34,52,8,-1.45489,3667.46,3861.45,-2.55641,3906.73,494,14,32,28,0,0,4,4.71176,7.09346,4.2437,77.1391,0.065,2,0.068322,0.099326,0.022075,0.030291,0.027932,0.008968,0.008062,0.007841,0.006388,0.004608,0.004869,-2.66616,0,0,0.00510204,38.7151,17.4364,12.7311,0,0,0.0649545,0.295175,0.0505076,0.0738021,0.0134333,-2.5297,-4.29649,1
20,461,1255,3466,3036,890,1,20,34,53,9,-0.0017968,4187.46,4228.86,-0.252057,4097.41,461,13,32,10,4,0,0,3.82395,3.93971,5.20981,103.285,0.3364,4,0.344761,0.039587,0.009606,0.025959,0.013239,0.013618,0.008218,0.005007,0.003921,0.003204,0.003264,-0.679379,0.04,0,0,11.9424,11.4845,15.6294,0,0.459381,0,0,0.282843,0.339522,0.456201,-0.665424,-0.175646,1
21,428,1321,3532,3035,825,1,21,34,54,11,-0.971856,3876.85,3939.77,-1.30224,4025.75,428,12,32,10,3,0,0,3.94093,3.83094,5.81292,121.42,0.3513,4,0.32652,0.062055,0.00923,0.024242,0.018819,0.0172,0.010011,0.006148,0.004396,0.003692,0.003752,-0.61333,0.03,0,0,11.2921,12.198,17.4387,0,0.365939,0,0,0.282843,0.340912,0.16402,-0.659232,-1.62862,1
22,395,1387,3598,2904,758,1,22,34,55,8,-1.5048,3716.75,3850.82,-2.44415,3843.67,395,11,32,28,8,1,6,3.28104,7.53216,3.1077,27.9704,0.157003,0,0.05071,0.051628,0.029241,0.013,0.024978,0.009659,0.007066,0.006347,0.004645,0.003784,0.003663,-1.6807,0.0102041,0.00127551,0.00765306,43.6519,8.45498,9.32309,0.0556785,0.0862753,0.0713502,0.214059,0,0.0531198,0.054981,-2.88062,-2.84422,1
23,362,1453,3664,2903,693,1,23,34,56,9,0.557792,4336.43,4393.8,0.368466,4179.94,362,10,32,10,2,0,2,3.1105,3.54606,7.14786,175.682,0.3675,2,0.31852,0.040031,0.03652,0.022336,0.011433,0.007697,0.006966,0.005918,0.004735,0.003514,0.003482,-0.542957,0.02,0,0.02,9.6751,7.59891,21.4436,0,0.151978,0.428872,1.75682,0.141421,0.4823,0.408639,-0.0708292,-0.369593,1
24,329,1519,3730,2772,626,1,24,34,57,9,-0.579085,4102.75,3951.29,-1.37845,4210.14,329,9,32,28,0,9,4,7.65709,6.12985,8.66751,4.00914,0.333648,10,0.040325,0.04737,0.023211,0.014634,0.014716,0.009022,0.006255,0.004892,0.003883,0.003194,0.003332,-0.691732,0,0.0114796,0.00510204,28.911,46.0487,26.0025,0.331886,0,0.132666,0.0613643,0.252538,0.155128,0.588437,-1.69494,0.357508,1
25,296,1585,3796,2771,561,1,25,34,58,7,0.174042,4238.11,4222.09,-0.374882,4041.25,296,8,32,28,0,9,0,5.97808,4.79782,10.2251,103.309,0.191658,4,0.102992,0.061023,0.029816,0.030371,0.020325,0.014687,0.010404,0.007071,0.005461,0.004396,0.004433,-1.43927,0,0.0114796,0,17.7114,28.0681,30.6753,0.203319,0,0,1.05417,0.101015,0.235218,0.169966,-1.17908,-1.58587,1
26,263,1651,3862,2640,494,1,26,34,59,13,0.294588,4069.8,4420.72,0.362163,4485.45,263,7,32,28,6,4,0,9.47262,9.1596,5.60663,68.4908,0.474541,2,0.012754,0.01881,0.012998,0.008416,0.006958,0.004609,0.003025,0.002109,0.00168,0.001342,0.001329,-0.101925,0.00765306,0.00510204,0,64.553,70.4742,16.8199,0.329352,0.539343,0,0.262082,0.0505076,0.552345,0.16112,0.21015,-1.64992,1
27,230,1717,3928,2639,429,1,27,34,60,14,-1.05089,3893.25,3881.68,-1.93462,4042.43,230,6,32,10,0,3,0,3.07816,3.65489,7.64032,123.615,0.2819,2,0.312786,0.040111,0.051511,0.040041,0.02122,0.018502,0.011967,0.008528,0.006753,0.005552,0.005109,-0.935056,0,0.03,0,10.2781,7.44171,22.921,0.308343,0,0,2.4723,0.141421,0.341104,0.315065,-0.658376,-0.776544,1
28,197,1783,3994,2508,362,1,28,34,61,16,0.0497433,4030,4403.54,0.239448,4177.75,197,5,32,20,6,1,0,5.83775,6.44154,10.287,147.193,0.3509,4,0.062025,0.025371,0.024201,0.010116,0.01059,0.007689,0.005271,0.00359,0.003054,0.002285,0.002262,-0.615086,0.015,0.0025,0,31.9259,26.7658,30.8611,0.0798148,0.401487,0,0,0.141421,0.269699,0.459345,-0.996151,-0.162978,1
29,164,1849,4060,2507,297,1,29,34,62,10,-1.73611,3387.72,3910.62,-1.05204,3961.26,164,4,32,10,3,0,0,3.69957,3.35143,7.13089,57.7018,0.2679,4,0.326135,0.118929,0.016713,0.033979,0.023645,0.021263,0.011975,0.005951,0.005887,0.003917,0.004454,-1.0053,0.03,0,0,8.64222,10.7496,21.3927,0,0.322488,0,0,0.282843,0.264647,0.33236,-1.02195,-0.697531,1
30,131,1915,4126,2376,230,1,30,34,63,15,0.433189,4198.6,4549.3,0.499093,4146.66,131,3,32,20,1,1,1,8.53521,7.55338,7.17808,94.7813,0.2829,2,0.029132,0.054408,0.011669,0.012368,0.00984,0.006774,0.004882,0.00359,0.002824,0.002221,0.002268,-0.930122,0.0025,0.0025,0.0025,43.8982,57.2161,21.5342,0.109745,0.14304,0.0538356,0.236953,0.0707107,0.315553,0.148212,-0.774287,-1.74869,1
31,98,1981,4192,2375,165,1,31,34,64,9,0.33138,4486.5,4373.53,0.245545,4335.64,98,2,32,28,0,8,0,5.62249,7.72286,20.8505,40.8975,0.352156,6,0.038238,0.013455,0.018529,0.012547,0.009756,0.007604,0.005054,0.003554,0.002744,0.002183,0.002225,-0.609577,0,0.0102041,0,45.8902,24.8283,62.5516,0.468268,0,0,0.365156,0.151523,0.28899,0.504273,-0.900294,0.0170942,1
32,65,2047,4258,2244,98,1,32,34,65,15,0.943459,4379.89,4410.06,0.561243,4165.04,65,1,32,20,1,2,0,9.19896,4.98889,12.2859,56.0534,0.1982,2,0.049536,0.047109,0.019759,0.013403,0.010371,0.007569,0.005297,0.003622,0.002825,0.00212,0.002074,-1.39758,0.0025,0.005,0,19.1501,66.4611,36.8577,0.0957505,0.166153,0,0.140133,0.0707107,0.134056,0.0309627,-1.86556,-3.44352,1
33,32,2113,4324,2243,33,1,33,34,66,10,3.7306,5164.38,5548.03,3.35756,4514.58,32,0,32,28,3,10,1,7.60969,8.35441,16.98,18.0334,0.46361,2,0.013738,0.025068,0.012317,0.00901,0.008685,0.005178,0.003557,0.002626,0.001969,0.001597,0.001668,-0.145819,0.00382653,0.0127551,0.00127551,53.7026,45.4804,50.9399,0.684983,0.174032,0.0649744,0.230018,0.0505076,0.527667,0.299236,0.110781,-0.85094,1
34,1086,2,2213,4354,2146,2,1,35,34,5,0.937519,4100,4475.73,0.744821,4376.5,1086,32,31,20,3,4,0,9.71088,3.85831,5.58945,82.3245,0.32815,2,0.007565,0.023597,0.009482,0.007516,0.006805,0.004715,0.003481,0.002344,0.001809,0.001442,0.001475,-0.716564,0.0075,0.01,0,11.454,74.064,16.7684,0.11454,0.55548,0,0.617433,0.0707107,0.395045,0.374076,-0.426156,-0.51477,1
35,1053,68,2279,4225,2077,2,2,35,35,11,1.34178,4873.68,4648.73,1.00834,4184.82,1053,31,31,28,6,3,0,7.42229,4.47068,6.50628,38.5696,0.328469,2,0.046291,0.026638,0.013653,0.013557,0.011681,0.008365,0.005499,0.003444,0.002843,0.002264,0.002297,-0.715116,0.00765306,0.00382653,0,15.3784,43.2679,19.5188,0.058846,0.331132,0,0.0983919,0.0505076,0.454558,0.836906,-0.18227,1.63539,1
36,1020,134,2345,4222,2014,2,3,35,36,8,1.09745,4393.09,4407.87,0.634303,4074.35,1020,30,31,20,0,1,2,5.43493,7.27294,9.15132,178.594,0.2143,2,0.023463,0.049276,0.017409,0.013663,0.018806,0.007335,0.006362,0.005287,0.004247,0.003407,0.002999,-1.2992,0,0.0025,0.005,40.699,23.1995,27.454,0.101748,0,0.13727,0.892968,0.0707107,0.166843,0.234334,-1.60817,-1.184,1
37,987,200,2411,4093,1945,2,4,35,37,9,1.4066,4670.63,4586.16,1.15565,4262.3,987,29,31,28,4,0,0,8.96304,6.44156,13.2421,69.225,0.229018,2,0.039429,0.014722,0.012775,0.007907,0.006395,0.004849,0.003028,0.002113,0.00164,0.001326,0.001334,-1.21386,0.00510204,0,0,31.9261,63.0958,39.7264,0,0.321917,0,0,0.0505076,0.237888,0.01,-1.16429,-4.59512,1
38,954,266,2477,4090,1882,2,5,35,38,7,2.21609,4784.83,4815.21,2.12547,4266.76,954,28,31,28,0,0,7,8.01773,7.89281,15.4095,130.876,0.325268,4,0.078319,0.051012,0.015117,0.012904,0.013308,0.005854,0.004124,0.004488,0.003687,0.002796,0.002591,-0.729667,0,0,0.00892857,47.9322,50.4885,46.2284,0,0,0.412754,1.0016,0.101015,0.416794,0.500807,-0.335949,0.00322628,1
39,921,332,2543,3961,1813,2,6,35,39,9,1.47518,4563,4974.02,1.65144,4314.08,921,27,31,20,5,0,5,3.79385,4.13642,15.8914,157.113,0.409475,6,0.066333,0.037391,0.014091,0.010837,0.017016,0.006431,0.005186,0.003792,0.003201,0.002417,0.002374,-0.366136,0.0125,0,0.0125,13.1648,11.3045,47.6741,0,0.141306,0.595926,1.57113,0.212132,0.421693,0.592361,-0.315826,0.373734,1
40,888,398,2609,3958,1750,2,7,35,40,6,0.773191,4189.93,4442.18,0.598718,4157.93,888,26,31,10,0,0,3,3.51046,3.73356,5.05952,7.74749,0.244,2,0.405423,0.01581,0.05434,0.020821,0.013333,0.007198,0.007846,0.006059,0.005007,0.003873,0.00381,-1.13087,0,0,0.03,10.7253,9.67872,15.1785,0,0,0.455356,0.15495,0.141421,0.199927,0.407018,-1.38675,-0.376305,1
41,855,464,2675,3829,1681,2,8,35,41,8,-0.603279,3852.69,4065.39,-1.15324,3890.9,855,25,31,20,7,0,0,4.04675,3.22253,3.01672,107.804,0.208925,4,0.145572,0.100044,0.005723,0.02944,0.018319,0.017968,0.00919,0.006298,0.004947,0.00351,0.003857,-1.33142,0.0175,0,0,7.9902,12.8618,9.05017,0,0.225082,0,0,0.141421,0.0317804,0.01,-3.41661,-4.59512,1
42,822,530,2741,3826,1618,2,9,35,42,10,-0.342172,4048.93,4264.74,-0.0813939,4089.34,822,24,31,10,2,0,3,3.75915,3.55838,3.57826,73.1285,0.3786,2,0.322339,0.056906,0.027311,0.02062,0.013545,0.011906,0.008084,0.005315,0.004692,0.00352,0.003504,-0.495495,0.02,0,0.03,9.74248,11.0986,10.7348,0,0.221972,0.322043,1.46257,0.141421,0.368854,0.0513516,-0.537136,-2.91634,1
43,789,596,2807,3697,1549,2,10,35,43,11,-0.741378,3687.83,4181.59,-0.328107,3992.77,789,23,31,28,2,0,10,7.63302,4.37015,3.99277,24.7321,0.237844,4,0.035029,0.058811,0.01315,0.01894,0.021022,0.009297,0.005793,0.006273,0.004688,0.00375,0.003675,-1.16453,0.00255102,0,0.0127551,14.6945,45.7596,11.9783,0,0.116734,0.152785,0.283914,0.101015,0.165164,0.0976955,-1.6203,-2.2231,1
44,756,662,2873,3694,1486,2,11,35,44,6,1.37939,4299.5,4686.87,1.43085,4173.92,756,22,31,20,4,0,0,6.65603,3.76185,8.53432,50.1018,0.28835,2,0.054924,0.011527,0.012469,0.017614,0.007209,0.007329,0.004632,0.003491,0.002679,0.002224,0.002198,-0.903411,0.01,0,0,10.8885,34.7953,25.603,0,0.347953,0,0,0.0707107,0.328714,0.650498,-0.714008,0.621227,1
45,723,728,2939,3565,1417,2,12,35,45,10,0.076607,4123.33,4134.25,-0.6492,4413.59,723,21,31,28,1,7,7,4.59888,9.44328,6.26104,176.291,0.493788,4,0.011433,0.016713,0.017472,0.011421,0.00988,0.006879,0.004459,0.003345,0.002637,0.002075,0.002091,-0.0248481,0.00127551,0.00892857,0.00892857,68.6135,16.611,18.7831,0.612621,0.0211875,0.167706,2.9232,0.101015,0.569557,0.591868,0.280045,0.371693,1
46,690,794,3005,3562,1354,2,13,35,46,7,-0.912137,3784.29,3989.07,-1.14786,4145.19,690,20,31,28,6,0,0,6.51368,4.50739,16.6138,62.7585,0.242423,6,0.08398,0.009397,0.021189,0.019164,0.007147,0.008382,0.005809,0.004085,0.003178,0.00254,0.002599,-1.13944,0.00765306,0,0,15.632,33.3229,49.8413,0,0.255022,0,0,0.151523,0.238161,0.01,-1.16279,-4.59512,1
47,657,860,3071,3433,1285,2,14,35,47,9,-0.632091,3966.42,4106.47,-0.625195,4309.78,657,19,31,20,6,0,0,7.45658,4.3511,9.5426,32.9361,0.383475,2,0.03503,0.035333,0.009909,0.009435,0.009234,0.005577,0.004545,0.002572,0.002244,0.001717,0.00177,-0.474824,0.015,0,0,14.5667,43.6686,28.6278,0,0.655029,0,0,0.0707107,0.285225,0.428565,-0.918688,-0.28771,1
48,624,926,3137,3430,1222,2,15,35,48,7,-2.54357,3635.55,3560.28,-4.71477,3906.76,624,18,31,20,1,3,0,5.66354,3.01364,6.98107,106.052,0.115475,2,0.082877,0.050393,0.03228,0.021569,0.031315,0.019115,0.011219,0.008395,0.006496,0.005362,0.00555,-2.036,0.0025,0.0075,0,6.98791,25.1922,20.9432,0.0524093,0.0629804,0,0.530258,0.0707107,0.158614,0.01,-1.66857,-4.59512,1
49,591,992,3203,3301,1153,2,16,35,49,10,0.0651615,4369.21,4266.39,-0.0891798,4247.75,591,17,31,28,7,0,8,4.16163,3.17006,16.3426,135.258,0.420421,8,0.04695,0.036128,0.014094,0.013866,0.013593,0.007666,0.004423,0.004193,0.003224,0.00238,0.002466,-0.321046,0.00892857,0,0.0102041,7.73213,13.6024,49.0277,0,0.12145,0.500283,1.20766,0.202031,0.51736,0.385673,0.0694684,-0.46554,1
50,558,1058,3269,3298,1090,2,17,35,50,8,-0.752244,3916.11,4050.85,-0.910153,4172.37,558,16,31,10,0,0,3,3.40888,3.82496,4.78354,159.839,0.2651,2,0.423819,0.012683,0.055175,0.019982,0.017727,0.012948,0.007989,0.005621,0.004102,0.003326,0.003141,-1.01963,0,0,0.03,11.2569,9.12667,14.3506,0,0,0.430519,3.19678,0.141421,0.293524,0.123257,-0.878329,-1.96194,1
51,526,1124,3335,3169,1021,2,18,35,51,15,0.245595,4495.25,4246.59,-0.137833,3964.92,526,15,31,10,2,1,1,3.4433,3.29922,5.21581,119.321,0.3545,2,0.218313,0.155898,0.041526,0.028768,0.026873,0.011626,0.010551,0.007441,0.006862,0.004836,0.004605,-0.599317,0.02,0.01,0.01,8.37505,9.31193,15.6474,0.0837505,0.186239,0.156474,1.19321,0.141421,0.252059,0.403951,-1.08766,-0.389031,1
52,493,1190,3401,3166,958,2,19,35,52,7,-1.85691,3631.05,3702.32,-2.20936,4023.9,493,14,31,20,0,3,3,7.45529,4.55383,6.13762,32.5892,0.24885,4,0.004178,0.067499,0.020919,0.026621,0.019132,0.012599,0.009322,0.006757,0.005465,0.004021,0.003774,-1.10476,0,0.0075,0.0075,15.9558,43.6534,18.4129,0.119668,0,0.138097,0.407365,0.141421,0.25213,0.0962052,-1.08728,-2.24012,1
53,460,1256,3467,3037,889,2,20,35,53,12,0.0794697,4106.25,4423.9,0.357828,4087.56,460,13,31,10,2,1,1,3.95618,3.31074,4.11762,41.164,0.3317,4,0.303605,0.035351,0.040614,0.036973,0.014252,0.014957,0.009706,0.006786,0.006057,0.004157,0.004698,-0.700506,0.02,0.01,0.01,8.43364,12.2925,12.3529,0.0843364,0.24585,0.123529,0.41164,0.282843,0.310806,0.319996,-0.796353,-0.753789,1
54,427,1322,3533,3034,826,2,21,35,54,14,-0.424608,3896.01,4270.39,-0.054696,4170.82,427,12,31,20,2,0,5,6.19346,3.24583,8.06087,150.727,0.39125,6,0.095715,0.073265,0.01983,0.013005,0.018518,0.007412,0.00567,0.005067,0.004548,0.00331,0.002934,-0.442061,0.005,0,0.0125,8.10615,30.1271,24.1826,0,0.150635,0.302283,1.50727,0.212132,0.375029,0.273413,-0.510702,-0.977373,1
55,394,1388,3599,2905,757,2,22,35,55,20,2.55187,5165.16,6630.09,1.94154,4621.82,394,11,31,20,0,11,0,9.66363,7.04689,8.28999,125.462,0.558525,6,0.067557,0.006013,0.011786,0.007279,0.010001,0.006779,0.004634,0.003222,0.002423,0.00198,0.001924,0.235178,0,0.0275,0,38.2085,73.345,24.87,1.05073,0,0,3.13655,0.212132,0.502564,0.242021,0.0102563,-1.14163,1
56,361,1454,3665,2902,694,2,23,35,56,13,-1.41808,3656.67,3828.81,-1.3332,4386.8,361,10,31,20,2,6,0,6.56383,7.03314,5.40358,83.5836,0.437575,4,0.033452,0.023859,0.012057,0.009579,0.008144,0.006959,0.004864,0.003393,0.002603,0.002105,0.002175,-0.25101,0.005,0.015,0,38.0594,33.838,16.2107,0.570891,0.16919,0,1.04479,0.141421,0.464939,0.344005,-0.140475,-0.645498,1
57,328,1520,3731,2773,625,2,24,35,57,7,-1.29667,3759.6,3841.29,-1.83815,4025.96,328,9,31,28,6,1,6,4.43217,6.98992,7.44372,118.192,0.303967,6,0.036249,0.032239,0.018041,0.020422,0.015696,0.007854,0.006218,0.00487,0.003975,0.003199,0.003051,-0.828479,0.00765306,0.00127551,0.00765306,37.5932,15.4285,22.3311,0.0479505,0.118075,0.170902,0.904532,0.151523,0.420985,0.516711,-0.318732,0.0668685,1
58,295,1586,3797,2770,562,2,25,35,58,14,0.58671,4631.25,4566.42,0.642899,4699.39,295,8,31,28,0,0,14,3.53613,7.14614,21.1543,174.094,0.550153,2,0.008921,0.016536,0.01002,0.005802,0.008357,0.004258,0.002918,0.002575,0.001969,0.001484,0.00158,0.201289,0,0,0.0178571,39.2923,9.82078,63.463,0,0,1.13327,2.88676,0.0505076,0.523716,0.904268,0.0949353,2.24557,1
59,262,1652,3863,2641,493,2,26,35,59,6,-0.186729,4065.52,4407.42,0.28491,3954.13,262,7,31,20,1,2,1,3.30232,5.20424,7.41074,48.3212,0.166025,2,0.102164,0.087381,0.022936,0.021629,0.020319,0.010944,0.008278,0.007119,0.005528,0.004379,0.004094,-1.61407,0.0025,0.005,0.0025,20.8391,8.56503,22.2322,0.104195,0.0214126,0.0555806,0.241606,0.0707107,0.244142,0.01,-1.1301,-4.59512,1
60,229,1718,3929,2638,430,2,27,35,60,13,0.444353,3871.67,4555.53,0.671488,4114.99,229,6,31,10,2,1,2,3.28608,3.58689,4.685,81.4508,0.3852,4,0.224437,0.050474,0.038359,0.027208,0.0182,0.009192,0.008009,0.00593,0.004602,0.003621,0.003646,-0.467534,0.02,0.01,0.02,9.89921,8.48097,14.055,0.0989921,0.169619,0.2811,1.62902,0.282843,0.254598,0.0563734,-1.07424,-2.81773,1
61,196,1784,3995,2509,361,2,28,35,61,6,-2.40275,3689.37,3641.23,-4.49888,3938.07,196,5,31,10,0,4,0,3.89034,3.04441,6.81361,133.129,0.2682,6,0.087319,0.049296,0.074351,0.027787,0.017248,0.028409,0.018825,0.010068,0.009358,0.007504,0.007361,-1.00377,0,0.04,0,7.1313,11.8868,20.4408,0.285252,0,0,3.99387,0.424264,0.0960324,0.410689,-2.24211,-0.361119,1
